& Probates	Professional Services	1.18284048609
3D Printing	Local Services	0.532275612266
ATV Rentals/Tours	Active Life	15.7412825956
Acai Bowls	Food	10.6942067618
Accessories	Shopping	104.787706806
Accountants	Professional Services	24.9714651657
Acne Treatment	Beauty & Spas	2.128383133
Active Life	Fitness & Instruction	480.328758303
Acupuncture	Health & Medical	60.8471689402
Addiction Medicine	Health & Medical	0.277259732821
Adoption Services	Local Services	0.327262310313
Adult	Shopping	14.6983082102
Adult Education	Education	13.4050276054
Adult Entertainment	Nightlife	287.78435499
Advertising	Professional Services	20.3250205226
Aerial Fitness	Active Life	0.806384327786
Aerial Tours	Hotels & Travel	3.39011682873
Afghan	Halal	13.2724013794
African	Nightlife	21.8092959378
Agriturismi	Hotels & Travel	0.0810413853763
Air Duct Cleaning	Home Services	31.712707717
Aircraft Dealers	Automotive	0.0767471458965
Aircraft Repairs	Automotive	0.0533694288416
Airlines	Hotels & Travel	205.230877301
Airport Lounges	Nightlife	8.08054006258
Airport Shuttles	Hotels & Travel	147.786329776
Airport Terminals	Hotels & Travel	3.51945922435
Airports	Hotels & Travel	414.174333774
Airsoft	Active Life	0.507418524479
Allergists	Health & Medical	8.17897511326
Alsatian	Food	0.154156915206
Amateur Sports Teams	Active Life	17.5217611816
American (New)	Nightlife	1159.93330199
American (Traditional)	Nightlife	1106.48851835
Amusement Parks	Active Life	186.285871514
Anesthesiologists	Health & Medical	1.75519699153
Animal Physical Therapy	Pets	0.604017696352
Animal Shelters	Pets	19.9405083986
Antiques	Shopping	48.6263857471
Apartments	Home Services	517.551533481
Appliances	Shopping	64.5131040747
Appliances & Repair	Local Services	185.851556531
Appraisal Services	Local Services	5.09338399678
Aquarium Services	Pets	4.18182418674
Aquariums	Active Life	46.4856613426
Arabian	Mediterranean	10.4373751838
Arcades	Arts & Entertainment	67.4809315652
Archery	Active Life	7.08440935605
Architects	Professional Services	1.8116055569
Architectural Tours	Hotels & Travel	0.89074247994
Argentine	Latin American	14.7128158341
Armenian	Mediterranean	1.09450229589
Art Classes	Education	6.83549289795
Art Galleries	Arts & Entertainment	59.405862885
Art Museums	Arts & Entertainment	8.17338240563
Art Restoration	Local Services	0.830881685916
Art Schools	Education	7.29370337625
Art Space Rentals	Shopping	0.00589602681421
Art Supplies	Shopping	14.7542423509
Art Tours	Arts & Entertainment	0.227668408418
Artificial Turf	Home Services	10.8300220458
Arts & Crafts	Shopping	91.2174398154
Arts & Entertainment	Event Planning & Services	1109.16588715
Asian Fusion	Japanese	364.288719967
Assisted Living Facilities	Health & Medical	3.05063928217
Attraction Farms	Food	0.0657427940907
Auction Houses	Shopping	12.8713485872
Audiologist	Health & Medical	3.99156145003
Australian	Food	1.34932946703
Austrian	German	1.99470408013
Auto Customization	Automotive	62.2155937261
Auto Detailing	Automotive	258.568893174
Auto Electric Services	Automotive	1.20083655506
Auto Glass Services	Automotive	182.337851811
Auto Insurance	Financial Services	28.1579089987
Auto Loan Providers	Automotive	21.2190046925
Auto Parts & Supplies	Automotive	479.422289333
Auto Repair	Automotive	1778.46344337
Auto Security	Automotive	4.04887800559
Auto Upholstery	Automotive	3.30662039785
Automotive	Auto Repair	1778.46344337
Awnings	Local Services	1.83255195586
Ayurveda	Health & Medical	0.414208492101
Baby Gear & Furniture	Shopping	35.4734596067
Backflow Services	Home Services	0.360871550894
Backshop	Food	1.32326825068
Baden	German	0.268908834474
Badminton	Active Life	1.20222870172
Bagels	Food	163.294715634
Bail Bondsmen	Local Services	6.0981777283
Bakeries	Food	948.903154787
Bangladeshi	Indian	4.78553773297
Bankruptcy Law	Professional Services	10.137218274
Banks & Credit Unions	Financial Services	170.437200428
Bar Crawl	Nightlife	1.30173228465
Barbeque	Korean	227.72302138
Barbers	Beauty & Spas	818.741418769
Barre Classes	Active Life	20.0256329628
Bars	Nightlife	4554.34807237
Bartenders	Event Planning & Services	8.48129723647
Bartending Schools	Education	2.08616676514
Baseball Fields	Arts & Entertainment	8.67260486904
Basketball Courts	Active Life	0.727821025116
Basque	Spanish	9.0697939866
Battery Stores	Shopping	3.15602228616
Batting Cages	Active Life	2.9568391029
Bavarian	German	4.79602358382
Beach Bars	Nightlife	0.213438325834
Beach Equipment Rentals	Active Life	0.412424124107
Beach Volleyball	Food	0.000783862212534
Beaches	Active Life	6.77130939587
Beauty & Spas	Nail Salons	2496.93494985
Bed & Breakfast	Hotels & Travel	51.4484549356
Beer	Food	350.213166302
Beer Bar	Nightlife	88.6759687929
Beer Garden	German	16.3547516696
Beer Gardens	Nightlife	42.8041401145
Beer Hall	Mediterranean	1.60319547971
Beer Tours	Hotels & Travel	0.682728088092
Behavior Analysts	Health & Medical	0.267176330848
Belgian	Breakfast & Brunch	9.41877467246
Bespoke Clothing	Shopping	10.1781495605
Beverage Store	Food	3.61472961062
Bicycles	Shopping	0.702411451871
Bike Rentals	Active Life	33.8234677128
Bike Repair	Shopping	0.145930426648
Bike Repair/Maintenance	Local Services	23.2036160557
Bike Sharing	Hotels & Travel	0.388198106322
Bike Shop	Shopping	0.670761451871
Bikes	Shopping	71.33551433
Bingo Halls	Arts & Entertainment	0.596010263819
Bird Shops	Pets	1.0198008015
Bistros	Nightlife	7.89728255828
Blood & Plasma Donation Centers	Health & Medical	5.05480057459
Blow Dry/Out Services	Beauty & Spas	104.385307791
Boat Charters	Event Planning & Services	5.05404150853
Boat Dealers	Automotive	4.40905645555
Boat Repair	Professional Services	5.55220106212
Boat Tours	Hotels & Travel	0.480356217024
Boating	Active Life	13.3420834262
Body Shops	Automotive	278.879883858
Bookbinding	Local Services	0.439678190606
Bookkeepers	Professional Services	2.09989693293
Books	Shopping	54.1180213826
Bookstores	Shopping	17.5485692815
Boot Camps	Active Life	32.7964397473
Botanical Gardens	Arts & Entertainment	21.9069806975
Boudoir Photography	Event Planning & Services	1.05454780372
Bounce House Rentals	Event Planning & Services	1.29784713421
Bowling	Active Life	44.4990910473
Boxing	Active Life	15.9064238588
Brasseries	French	23.4248152703
Brazilian	Steakhouses	90.8980205959
Brazilian Jiu-jitsu	Active Life	2.52928426827
Breakfast & Brunch	American (Traditional)	1066.49130722
Breweries	Food	274.879579845
Brewing Supplies	Shopping	2.57552477178
Bridal	Shopping	180.87005288
British	Nightlife	61.1614483439
Bubble Soccer	Active Life	0.229494683318
Bubble Tea	Food	125.886509972
Buddhist Temples	Religious Organizations	0.49696306807
Buffets	Breakfast & Brunch	328.533867909
Building Supplies	Home Services	51.2436011353
Bulgarian	American (Traditional)	0.325679821555
Burgers	American (Traditional)	826.913072255
Burmese	Sushi Bars	2.45278163205
Bus Tours	Hotels & Travel	15.1631743149
Buses	Hotels & Travel	13.4442414286
Business Consulting	Professional Services	6.41811910298
Business Financing	Financial Services	0.455975929274
Business Law	Professional Services	4.44824816504
Butcher	Food	29.7111053788
CPR Classes	Education	3.99188095449
CSA	Food	1.63116750254
Cabaret	Arts & Entertainment	5.13029503364
Cabinetry	Home Services	17.4460727194
Cable Cars	Hotels & Travel	0.0621369941155
Cafes	Food	486.320354411
Cafeteria	American (Traditional)	5.27010968567
Cajun/Creole	Seafood	141.551017664
Calligraphy	Local Services	0.026974111956
Cambodian	Thai	8.64670661714
Campgrounds	Hotels & Travel	22.1711564629
Canadian (New)	Nightlife	105.795071005
Candle Stores	Shopping	0.0374969907079
Candy Stores	Food	48.6958879099
Cannabis Clinics	Health & Medical	44.0433581452
Cannabis Collective	Shopping	0.260865048033
Cannabis Dispensaries	Shopping	18.5383468099
Cannabis Tours	Health & Medical	0.554036132446
Cantonese	Chinese	66.8718767602
Car Auctions	Automotive	0.939507028811
Car Brokers	Automotive	1.06715086616
Car Buyers	Automotive	11.2469592374
Car Dealers	Automotive	965.378074754
Car Inspectors	Automotive	2.3816403207
Car Rental	Hotels & Travel	1361.0810848
Car Share Services	Automotive	3.03157745172
Car Stereo Installation	Automotive	46.629650709
Car Wash	Automotive	386.170222917
Car Window Tinting	Automotive	26.7262592008
Cardio Classes	Active Life	5.78866259545
Cardiologists	Health & Medical	7.9673352261
Cards & Stationery	Shopping	10.1438070976
Career Counseling	Professional Services	11.2357506252
Caribbean	Food	35.0750895748
Caricatures	Event Planning & Services	2.61390327997
Carousels	Food	0.0191187511913
Carpenters	Home Services	4.37232410338
Carpet Cleaning	Local Services	151.461695285
Carpet Installation	Home Services	19.1165439354
Carpeting	Home Services	50.7685859452
Casinos	Arts & Entertainment	1061.4775461
Castles	Arts & Entertainment	1.52055902879
Caterers	Event Planning & Services	439.443951257
Challenge Courses	Active Life	50.4297430667
Champagne Bars	Nightlife	7.37515577389
Check Cashing/Pay-day Loans	Financial Services	14.4182401305
Cheese Shops	Food	21.5973287547
Cheese Tasting Classes	Food	0.537635114279
Cheesesteaks	American (New)	41.8273260473
Chicken Shop	Fast Food	31.6074406644
Chicken Wings	Pizza	195.518098596
Child Care & Day Care	Local Services	51.2256545442
Childbirth Education	Health & Medical	0.671571202596
Childproofing	Home Services	0.809373007659
Children's Clothing	Shopping	20.9168381637
Children's Museums	Arts & Entertainment	6.00264395549
Chimney Sweeps	Home Services	2.90537227161
Chinese	Asian Fusion	333.983498636
Chinese Martial Arts	Active Life	0.529533965079
Chiropractors	Health & Medical	243.186407459
Chocolatiers & Shops	Food	63.5074523498
Choirs	Arts & Entertainment	0.0222704468487
Christmas Markets	Arts & Entertainment	1.30218143308
Christmas Trees	Shopping	5.21410351726
Churches	Religious Organizations	64.846150017
Cideries	Food	0.96814164256
Cinema	Arts & Entertainment	162.115689242
